ASMA GERME  GALVANİZ HALAT STOK LİSTESİ;;;;;;;;;;;;;
No;Halat Çapı;Adet;Halat Tipi;Uzunluğu (Mt);İzole Durumu;1. Ucu;2. Ucu;Kullanıldığı Proje;Açıklama;;;;
1;Ø16;1;6x19;19;Var;-;-;;;;;;
2;Ø12;1;6x19;22;Yok;Saplama;-;BIG GLILOT;Kullanıldı;;;;
3;Ø12;1;6x19;5,5;Yok;Radansa;-;BIG GLILOT;Kullanıldı;;;Kullanıldı;
4;Ø12;1;6x19;27;Yok;Radansa;-;BIG GLILOT;Kullanıldı;;;;
5;Ø12;1;6x19;7;Yok;Radansa;-;BIG GLILOT;Kullanıldı;;;Proje İçin Ayrılan;
6;Ø12;1;6x19;15,36;Yok;Saplama;Saplama;BIG GLILOT;Kullanıldı;;;;
7;Ø12;1;6x19;6,38;Yok;Radansa;-;BIG GLILOT;Kullanıldı;;;Stok;
8;Ø12;1;6x19;6;Yok;Radansa;-;BIG GLILOT;Kullanıldı;;;;
9;Ø12;1;6x19;7,9;Yok;-;-;BIG GLILOT;Kullanıldı;;;;
10;Ø16;1;6x19;13,39;Yok;Saplama;Saplama;;;;***NOT: Ölçülen uzunluklara halat uçları dahil değildir.;;
11;Ø12;1;6x19;9,6;Var;Saplama;-;;;;;;
12;Ø12;1;6x19;6,65;Yok;Radansa;Radansa;BIG GLILOT;Kullanıldı;;;;
13;Ø12;1;6x19;4,37;Yok;7/8 Mapa, Radansa;-;BIG GLILOT;Kullanıldı;;;;
14;Ø12;1;6x19;4,37;Yok;7/8 Mapa, Radansa;-;BIG GLILOT;Kullanıldı;;;;
15;Ø12;1;6x19;3,65;Yok;Saplama;Saplama;BIG GLILOT;Kullanıldı;;;;
16;Ø12;1;6x19;3,65;Yok;Saplama;Saplama;BIG GLILOT;Kullanıldı;;;;
17;Ø12;1;6x19;3,65;Yok;Saplama;Saplama;BIG GLILOT;Kullanıldı;;;;
18;Ø12;1;6x19;3,65;Yok;Saplama;Saplama;BIG GLILOT;Kullanıldı;;;;
19;Ø12;1;6x19;3,65;Yok;Saplama;Saplama;BIG GLILOT;Kullanıldı;;;;
20;Ø12;1;6x19;3,65;Yok;Saplama;Saplama;BIG GLILOT;Kullanıldı;;;;
21;Ø12;1;6x19;3,65;Yok;Saplama;Saplama;BIG GLILOT;Kullanıldı;;;;
22;Ø12;1;6x19;5,67;Yok;-;-;BIG GLILOT;Kullanıldı;;;;
23;Ø20;1;6x19;2,65;Yok;Radansa;-;;;;;;
24;Ø20;1;6x19;2,65;Yok;Radansa;-;;;;;;
25;Ø20;1;6x19;2,65;Yok;Radansa;-;;;;;;
26;Ø16;1;6x19;4,39;Yok;7/8 Mapa, Radansa;-;;;;;;
27;Ø16;1;6x19;4,38;Yok;7/8 Mapa, Radansa;-;;;;;;
28;Ø16;1;6x19;4,38;Yok;7/8 Mapa, Radansa;-;;;;;;
29;Ø18;1;6x19;6,06;Yok;Saplama;-;;;;;;
30;Ø12;1;6x19;15,22;Yok;Saplama (Deformeli);-;;Halatın orta kısmında deforme var !;;;;
31;Ø14;1;1x19;43,6;Yok;-;-;;;;;;
32;Ø12;1;1x19;15,26;Yok;Saplama;Saplama;;;;;;
33;Ø22;1;6x19;17,3;Yok;Saplama;Saplama (Deformeli);;;;;;
34;Ø18;1;6x19;3,75;Yok;Saplama;Saplama (Deformeli);;;;;;
35;Ø18;1;6x19;3,58;Yok;Saplama;Saplama;;;;;;
36;Ø12;1;6x19;4,04;Yok;-;-;BIG GLILOT;Kullanıldı;;;;
37;Ø16;1;6x19;4,39;Yok;7/8 Mapa, Radansa;-;;;;;;
38;Ø18;1;6x19;12,44;Yok;Saplama;Saplama;;;;;;
39;Ø18;1;6x19;12,01;Yok;Saplama;Saplama;;;;;;
40;Ø18;1;6x19;80;Yok;Saplama;-;;;;;;
41;Ø16;1;6x19;3,44;Yok;7/8 Mapa, Radansa;7/8 Mapa, Radansa;;;;;;
42;Ø16;1;6x19;5,52;Yok;7/8 Mapa, Radansa;-;;;;;;
43;Ø20;1;6x19;2,64;Yok;Radansa;-;;;;;;
44;Ø18;1;6x19;6,02;Yok;Saplama;-;;;;;;
45;Ø16;1;6x19;4,5;Yok;7/8 Mapa, Radansa;-;;;;;;
46;Ø18;1;6x19;5,5;Yok;7/8 Mapa, Radansa;7/8 Mapa, Radansa;;;;;;
47;Ø16;1;6x19;6,96;Yok;7/8 Mapa, Radansa;7/8 Mapa, Radansa;;;;;;
48;Ø12;1;6x19;8,57;Yok;-;-;BIG GLILOT;Kullanıldı;;;;
49;Ø18;1;6x19;5,42;Yok;Saplama;Saplama;;;;;;
50;Ø10;1;6x19;2,75;Yok;-;-;;;;;;
51;Ø12;1;6x19;1,5;Yok;Radansa;-;;;;;;
52;Ø18;1;6x19;12,22;Yok;Saplama;Saplama;;;;;;
53;Ø16;1;6x19;4,38;Yok;7/8 Mapa, Radansa;-;;;;;;
54;Ø18;1;6x19;5,57;Yok;Saplama;Saplama;;;;;;
55;Ø16;1;6x19;3,39;Yok;7/8 Mapa, Radansa;-;;;;;;
56;Ø16;1;6x19;4,38;Yok;-;-;;;;;;
57;Ø20;1;6x19;2,67;Yok;Radansa;-;;;;;;
58;Ø20;1;6x19;5,28;Yok;Radansa;Radansa;;;;;;
59;Ø16;1;6x19;4,4;Yok;-;-;;;;;;
60;Ø16;1;6x19;4,39;Yok;7/8 Mapa, Radansa;-;;;;;;
61;Ø16;1;6x19;4,39;Yok;7/8 Mapa, Radansa;-;;;;;;
62;Ø16;1;6x19;4,39;Yok;7/8 Mapa, Radansa;-;;;;;;
63;Ø20;1;6x19;3,65;Yok;Radansa;-;;;;;;
64;Ø16;1;6x19;4,39;Yok;7/8 Mapa, Radansa;-;;;;;;
65;Ø12;1;6x19;5,31;Yok;-;-;BIG GLILOT;Kullanıldı;;;;
66;Ø16;1;6x19;4,39;Yok;-;-;;;;;;
67;Ø18;1;6x19;3,03;Yok;Radansa;-;;;;;;
68;Ø16;1;6x19;2,82;Yok;-;-;;;;;;
69;Ø20;1;6x19;2,62;Yok;Radansa;-;;;;;;
70;Ø20;1;6x19;2,62;Yok;Radansa;-;;;;;;
71;Ø16;1;6x19;0,92;Yok;Saplama;Saplama;;;;;;
72;Ø12;1;6x19;15,25;Yok;Saplama;-;BIG GLILOT;Kullanıldı;;;;
73;Ø12;1;6x19;17,2;Yok;Saplama;-;BIG GLILOT;Kullanıldı;;;;
74;Ø8;1;6x19;20,46;Yok;-;-;GÖKTÜRK KONUT;Kullanıldı;;;;
75;Ø8;1;6x19;15;Yok;-;-;;Halatın orta kısmında deforme var !;;;;
76;Ø8;1;6x19;10;Yok;-;-;;;;;;
77;Ø12;8;6x19;0,51;Yok;Saplama;Saplama;;;;;;
78;Ø12;8;6x19;39,5;Yok;Saplama;Saplama;BIG GLILOT;Kullanıldı;;;;
79;Ø16;1;6x19;52,5;Yok;Saplama;Saplama;;;;;;
80;Ø16;1;6x19;90;Yok;Saplama;Saplama;;;;;;
81;Ø12;1;6x19;3,66;Yok;Saplama;Saplama;;;;;;
82;Ø20;1;6x19;1,1;Yok;Saplama;Saplama;;;;;;
83;Ø10;1;1x19;2,63;Yok;Saplama;Saplama;;;;;;
84;Ø12;16;1x19;7,6;Yok;Saplama;Saplama;;;;;;
85;Ø16;1;1x19;15,8;Yok;Saplama;Saplama;Kurtköy MVK;Kullanıldı;;;;
86;Ø16;1;1x19;16,7;Yok;Saplama;Saplama;Kurtköy MVK;Kullanıldı;;;;
87;Ø10;5;1x19;5,98;Yok;Saplama;Saplama;YZO Stadyum;Kullanıldı;;;;
88;Ø10;7;1x19;3,94;Yok;Saplama;Saplama;Irak Gazebo;Kullanıldı;;;;
89;Ø14;1;1x19;14;Yok;Saplama;Saplama;Kurtköy MVK;Kullanıldı;;;;
90;Ø14;1;1x19;10,7;Yok;Saplama;-;;;;;;
91;Ø12;1;1x19;11,65;Yok;Saplama;-;;;;;;
92;Ø12;2;1x19;8,2;Yok;Saplama;Saplama;;;;;;
93;Ø12;2;1x19;8,16;Yok;Saplama;Saplama;;;;;;
94;Ø12;2;1x19;6,68;Yok;Saplama;Saplama;;;;;;
95;Ø12;1;1x19;15,37;Yok;Saplama;Saplama;;;;;;
96;Ø12;2;1x19;6,36;Yok;Saplama;Saplama;;;;;;
97;Ø10;1;6x19;4,56;Yok;Saplama;Saplama;;;;;;
97A;Ø10;3;6x19;4,56;Yok;Saplama;Saplama;Irak Gazebo;Kullanıldı;;;;
98;Ø14;1;1x19;10,1;Yok;Saplama;Saplama;;;;;;
99;Ø10;5;6x19;1,98;Yok;Saplama;Saplama;;;;;;
100;Ø10;2;6x19;2,08;Yok;Saplama;Saplama;;;;;;
101;Ø10;2;6x19;2,09;Yok;Saplama;Saplama;;;;;;
102;Ø10;1;6x19;7,25;Yok;Saplama;Saplama;YZO Stadyum;Kullanıldı;;;;
103;Ø10;2;6x19;7,43;Yok;Saplama;Saplama;YZO Stadyum;Kullanıldı;;;;
104;Ø10;2;6x19;12,53;Yok;Saplama;Saplama;YZO Stadyum;Kullanıldı;;;;
105;Ø10;2;1x19;6,33;Yok;Saplama;Saplama;YZO Stadyum;Kullanıldı;;;;
106;Ø10;5;6x19;1,98;Yok;Saplama;Saplama;;;;;;
107;Ø12;1;6x19;13,61;Yok;Saplama;Saplama;BIG GLILOT;Kullanıldı;;;;
108;Ø10;3;6x19;24;Yok;-;-;YZO Stadyum;Kullanıldı;;;;
109;Ø10;2;6x19;2,2;Yok;Radansa;Radansa;;;;;;
110;Ø6;1;6x19;43;Yok;-;-;GÖKTÜRK KONUT;Kullanıldı;;;;
111;Ø4;1;6x19;50;Yok;-;-;Polin DXB Dubai;Kullanıldı;;;;
112;Ø8;1;6x19;25,5;Var;-;-;POLİN AVUSTRALYA;Kullanıldı;;;;
113;Ø12;1;6x19;42;Var;-;-;;;;;;
114;Ø12;1;6x19;12,82;Var;-;-;;;;;;
115;Ø12;1;6x19;22;Yok;-;-;BIG GLILOT;Kullanıldı;;;;
116;Ø12;1;6x19;6,16;Var;-;-;;;;;;
117;Ø16;1;6x19;6,8;Yok;Radansa;Radansa;;;;;;
118;Ø10;1;6x19;3,47;Yok;-;-;;;;;;
119;Ø6;1;6x19;12,92;Var;-;-;BESPOKUS;Kullanıldı;;;;
120;Ø4;1;6x19;22;Var;-;-;Bağcılar Havuz Test;Kullanıldı;;;;
121;Ø4;1;6x19;20;Yok;-;-;Polin DXB Dubai;Kullanıldı;;;;
122;Ø8;1;6x19;9;Var;-;-;;;;;;
123;Ø12;9;6x19;1,32;Var;Radansa;Radansa;;;;;;
124;Ø10;12;6x19;1,1;Var;Sapan Baskı;-;;;;;;
125;Ø20;1;6x19;1,07;Yok;Radansa;Radansa;;;;;;
126;Ø12;8;6x19;0,65;Yok;Radansa;Radansa;;;;;;
127;Ø12;3;6x19;0,94;Yok;Sapan Baskı;-;;;;;;
128;Ø8;1;6x19;4,17;Yok;Klemens;-;;;;;;
129;Ø16;1;1x19;4,95;Yok;Saplama;Çatal;;;;;;
130;Ø8;1;6x19;7;Var;-;-;;;;;;
;Toplam;220;;;;;;;;;;;
;Kullanılan;69;;;;;;;;;;;
;Stok;151;;;;;;;;;;;
